Foreground,Background,Contrast Ratio,WCAG Level
ocean.faded,ocean.regular,2.77,Fail
ocean.faded,ocean.intense,5.32,AA
ocean.faded,ocean.darken,9.63,AAA
ocean.faded,mauve.faded,1.05,Fail
ocean.faded,mauve.regular,2.21,Fail
ocean.faded,mauve.intense,6.45,AA
ocean.faded,mauve.darken,9.81,AAA
ocean.faded,pistachio.faded,1.14,Fail
ocean.faded,pistachio.regular,1.73,Fail
ocean.faded,pistachio.intense,3.82,Fail
ocean.faded,pistachio.darken,8.98,AAA
ocean.faded,olive.faded,1.12,Fail
ocean.faded,olive.regular,1.38,Fail
ocean.faded,olive.intense,3.27,Fail
ocean.faded,olive.darken,8.89,AAA
ocean.faded,merigold.faded,1.14,Fail
ocean.faded,merigold.regular,1.47,Fail
ocean.faded,merigold.intense,2.52,Fail
ocean.faded,merigold.darken,8.48,AAA
ocean.faded,orange.faded,1.01,Fail
ocean.faded,orange.regular,1.82,Fail
ocean.faded,orange.intense,3.13,Fail
ocean.faded,orange.darken,9.33,AAA
ocean.faded,rose.faded,1.09,Fail
ocean.faded,rose.regular,2.86,Fail
ocean.faded,rose.intense,3.8,Fail
ocean.faded,rose.darken,9.91,AAA
ocean.faded,background.faded,9.22,AAA
ocean.faded,background.regular,11.19,AAA
ocean.faded,background.intense,11.73,AAA
ocean.faded,background.darken,12.41,AAA
ocean.faded,foreground.faded,1.24,Fail
ocean.faded,foreground.regular,1.38,Fail
ocean.faded,foreground.intense,1.09,Fail
ocean.faded,foreground.darken,1.49,Fail
ocean.regular,ocean.faded,2.77,Fail
ocean.regular,ocean.intense,1.92,Fail
ocean.regular,ocean.darken,3.48,Fail
ocean.regular,mauve.faded,2.63,Fail
ocean.regular,mauve.regular,1.25,Fail
ocean.regular,mauve.intense,2.33,Fail
ocean.regular,mauve.darken,3.55,Fail
ocean.regular,pistachio.faded,3.15,Fail
ocean.regular,pistachio.regular,1.6,Fail
ocean.regular,pistachio.intense,1.38,Fail
ocean.regular,pistachio.darken,3.25,Fail
